metric,problem,mixer,N,model,weighted_sse,params,perr,best,n_points_fit,include_zeros_in_fit
mono_prop,MaxClique,Grover,4,power_law,156960353.1265041,0.99999999999999989;0.79107710766006112,0.00011281542149627493;9.449578249475341e-05,False,11,False
mono_prop,MaxClique,Grover,6,stretched_exp,130209.24800456018,0.99999999999999989;0.00027625187457847489;4.9999999999999813,0.00028988784914861385;1.5095299139724942e-05;0.032358794373010716,True,11,False
mono_prop,MaxClique,Grover,6,exp_quadratic,5765165.354031902,0.99999999999999989;0.022765593321755276,5.6873392519513646e-05;7.3492001331506806e-06,False,11,False
mono_prop,MaxClique,Grover,6,exp_over_power,50051827.68562774,0.99999999999999989;0.14015293660771269;2.2281568736026071e-18,0.00082827534788338969;0.00046801533052696339;0.0025344234721923031,False,11,False
mono_prop,MaxClique,Grover,6,exp_decay,50051827.68945557,0.99999999999999989;0.14016196803596115,8.54892384327567e-05;2.6040386820289106e-05,False,11,False
mono_prop,MaxClique,Grover,6,power_law,84124453.98591991,0.99999999999999989;0.53055878656980882,0.00011086061984132058;0.00010595752668821407,False,11,False
mono_prop,MaxClique,Grover,8,stretched_exp,44567.99361649378,0.99999999999999989;0.00021257931622325991;4.9999999999999991,0.00040081818060794402;2.0467849085074117e-05;0.055158312015611999,True,11,False
mono_prop,MaxClique,Grover,8,exp_quadratic,2311256.317215242,0.99999999999999989;0.018012208250156501,7.4696068058471921e-05;1.0421750198406657e-05,False,11,False
mono_prop,MaxClique,Grover,8,exp_decay,16869890.075942557,0.99999999999999989;0.09150526903636938,0.00011107585225774848;3.8580007849900858e-05,False,11,False
mono_prop,MaxClique,Grover,8,exp_over_power,16869890.08361608,0.99999999999999989;0.091505813419266613;1.2338219027016808e-15,0.0012140979206861327;0.0006885282816707168;0.0037254693383185289,False,11,False
mono_prop,MaxClique,Grover,8,power_law,26053288.91970694,0.99999999999999989;0.30803525596850967,0.00014293101170366623;0.00015721470868785317,False,11,False
mono_prop,MaxClique,X,4,stretched_exp,3094861.8244936955,0.99999999999999989;0.00019519947000099658;4.9999999999999991,4.2188840890860927e-05;2.0941974724216415e-06;0.0058243333501135268,True,11,False
mono_prop,MaxClique,X,4,exp_quadratic,582541584.0636355,0.99999999999999989;0.027626132442091462,6.6395154207269865e-06;8.1198061801199231e-07,False,11,False
mono_prop,MaxClique,X,4,exp_decay,5333768425.3946905,0.99999999999999989;0.18377795950797382,1.0445351292460396e-05;2.9190313901697158e-06,False,11,False
mono_prop,MaxClique,X,4,exp_over_power,5333768425.576744,0.99999999999999989;0.18379058869501491;3.7429627865384025e-15,9.508062682509765e-05;5.5968162717345772e-05;0.00029730948363587332,False,11,False
mono_prop,MaxClique,X,4,power_law,9040849268.99726,0.99999999999999989;0.72860084791299162,1.393179222722077e-05;1.208796291886998e-05,False,11,False
mono_prop,MaxClique,X,6,stretched_exp,2677497.1072384357,0.99999999999999989;0.0001835173265636259;4.9999999999999991,4.3044738365718335e-05;2.1295809048589169e-06;0.006260339121299573,True,10,False
mono_prop,MaxClique,X,6,exp_quadratic,490130344.50533944,0.99999999999999989;0.024669901038540793,6.7145965689512666e-06;8.7378173648351386e-07,False,10,False
mono_prop,MaxClique,X,6,exp_over_power,3850109711.9553385,0.99999999999999989;0.14176726173119875;1.9924927106800995e-18,0.00011648919348656277;7.3358853588409968e-05;0.00037865581132702904,False,10,False
mono_prop,MaxClique,X,6,exp_decay,3850109719.8616953,0.99999999999999989;0.1417649142498047,1.0270826379535178e-05;3.199761155341954e-06,False,10,False
mono_prop,MaxClique,X,6,power_law,6109864185.531493,0.99999999999999989;0.51774701608270746,1.3124953605521835e-05;1.2784133653342694e-05,False,10,False
mono_prop,MaxClique,X,8,stretched_exp,1951854.4396068237,0.99999999999999989;0.00016050225973936918;4.9999999999999991,4.4812117262868033e-05;2.1893605845201633e-06;0.0071915781265721145,True,11,False
mono_prop,MaxClique,X,8,exp_quadratic,468085017.694302,0.99999999999999989;0.024468018657149933,6.5708756293109226e-06;8.1660406250145193e-07,False,11,False
mono_prop,MaxClique,X,8,exp_over_power,4436557047.566579,0.99999999999999989;0.16113753133003428;9.9698587904999888e-18,0.00010995245186460001;6.1878291201391335e-05;0.00033606059987470016,False,11,False
