problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,Grover,5,5,5,21260232,100000,1.000e-12,false,2553,8310,89137,0.025530000000000001,0.083099999999999993,0.00049878070431803997,0.00087289397981656395
SK,Grover,5,6,5,21260232,100000,1.000e-12,false,993,3885,95122,0.0099299999999999996,0.038850000000000003,0.00031355055573224549,0.00061107018827627328
SK,Grover,5,7,5,21260232,100000,1.000e-12,false,402,1725,97873,0.0040200000000000001,0.017250000000000001,0.00020009596697584885,0.00041173337853518753
SK,Grover,5,8,5,21260232,100000,1.000e-12,false,157,752,99091,0.00157,0.0075199999999999998,0.00012520124200661909,0.00027319314779108208
SK,Grover,5,9,5,21260232,100000,1.000e-12,false,61,305,99634,0.00060999999999999997,0.0030500000000000002,7.8078671863704232e-05,0.00017437595877872617
SK,Grover,5,10,5,21260232,100000,1.000e-12,false,25,124,99851,0.00025000000000000001,0.00124,4.9993749609326164e-05,0.00011128622556273531
SK,Grover,5,11,5,21260232,100000,1.000e-12,false,14,48,99938,0.00013999999999999999,0.00048000000000000001,3.7413954615891648e-05,6.9265402619200886e-05
SK,Grover,5,12,5,21260232,100000,1.000e-12,false,7,18,99975,6.9999999999999994e-05,0.00018000000000000001,2.6456587081481237e-05,4.2422588322732031e-05
SK,Grover,5,13,5,21260232,100000,1.000e-12,false,2,8,99990,2.0000000000000002e-05,8.0000000000000007e-05,1.4141994201667599e-05,2.8283139853983683e-05
SK,Grover,5,14,5,21260232,100000,1.000e-12,false,0,4,99996,0,4.0000000000000003e-05,0,1.9999599995999918e-05
SK,Grover,5,15,5,21260232,100000,1.000e-12,false,0,1,99999,0,1.0000000000000001e-05,0,9.999949999874999e-06
SK,Grover,5,16,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,17,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,18,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,19,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,20,5,21260232,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,2,6,21260233,100000,1.000e-12,false,48429,51571,0,0.48429,0.51571,0.0015803581742756926,0.0015803581742756926
SK,X,5,3,6,21260233,100000,1.000e-12,false,21209,22449,56342,0.21209,0.22449,0.0012927019451520912,0.0013194477628917334
SK,X,5,4,6,21260233,100000,1.000e-12,false,8373,8665,82962,0.083729999999999999,0.086650000000000005,0.00087589546807824046,0.00088961664496568413
SK,X,5,5,6,21260233,100000,1.000e-12,false,3028,2958,94014,0.030280000000000001,0.029579999999999999,0.00054187749168977306,0.00053577069348742837
SK,X,5,6,6,21260233,100000,1.000e-12,false,1028,955,98017,0.010279999999999999,0.0095499999999999995,0.00031897212417388449,0.00030755158103966884
SK,X,5,7,6,21260233,100000,1.000e-12,false,331,304,99365,0.00331,0.0030400000000000002,0.00018163270355307714,0.00017409073496312203
SK,X,5,8,6,21260233,100000,1.000e-12,false,109,83,99808,0.00109,0.00083000000000000001,0.00010434614990501565,9.1066519643609974e-05
SK,X,5,9,6,21260233,100000,1.000e-12,false,32,17,99951,0.00032000000000000003,0.00017000000000000001,5.6559490803931397e-05,4.122755146743498e-05
SK,X,5,10,6,21260233,100000,1.000e-12,false,12,6,99982,0.00012,6.0000000000000002e-05,3.4638937628050894e-05,2.4494162569885914e-05
SK,X,5,11,6,21260233,100000,1.000e-12,false,5,2,99993,5.0000000000000002e-05,2.0000000000000002e-05,2.2360120751015635e-05,1.4141994201667599e-05
SK,X,5,12,6,21260233,100000,1.000e-12,false,1,0,99999,1.0000000000000001e-05,0,9.999949999874999e-06,0
SK,X,5,13,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,14,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,15,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,16,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,17,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,18,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,19,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,20,6,21260233,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,2,6,21260233,100000,1.000e-12,false,52188,47812,0,0.52188000000000001,0.47811999999999999,0.0015796242135394101,0.0015796242135394101
SK,Grover,5,3,6,21260233,100000,1.000e-12,false,25158,21995,52847,0.25158000000000003,0.21995000000000001,0.00137217893731102,0.0013098549442590963
SK,Grover,5,4,6,21260233,100000,1.000e-12,false,11213,9911,78876,0.11212999999999999,0.099110000000000004,0.00099778185541730523,0.00094491908595392444
SK,Grover,5,5,6,21260233,100000,1.000e-12,false,4640,4365,90995,0.046399999999999997,0.043650000000000001,0.00066518448568799317,0.00064610121111169578
SK,Grover,5,6,6,21260233,100000,1.000e-12,false,1903,1782,96315,0.019029999999999998,0.017819999999999999,0.00043206317940782687,0.0004183592666596498
SK,Grover,5,7,6,21260233,100000,1.000e-12,false,763,688,98549,0.0076299999999999996,0.0068799999999999998,0.00027516873187191887,0.0002613936801072283
